DATE,OPEN,CLOSE,HIGH,LOW,VWAP,NO OF TRADES
2023-03-20,1837.0,1804.95,1849.95,1777.4,1805.76,227261
2023-03-21,1836.95,1824.25,1861.0,1804.95,1829.3,158108
2023-03-22,1834.0,1815.4,1850.0,1806.15,1825.77,130781
2023-03-23,1794.0,1794.0,1834.0,1780.0,1806.17,169920
2023-03-24,1796.0,1740.65,1823.0,1695.25,1756.97,274938
2023-03-27,1740.65,1723.05,1757.4,1682.0,1723.26,225632
2023-03-28,1727.95,1600.85,1733.0,1573.0,1631.04,355424
2023-03-29,1602.95,1740.4,1756.0,1591.1,1692.55,372047
2023-03-31,1788.0,1750.45,1825.0,1740.0,1773.0,217475
2023-04-03,1750.45,1717.45,1754.95,1695.5,1717.59,142156
2023-04-05,1717.45,1698.0,1737.95,1671.55,1700.22,153045
2023-04-06,1705.0,1754.05,1793.65,1688.15,1750.41,241838
2023-04-10,1774.0,1797.25,1812.7,1760.6,1792.77,175216
2023-04-11,1810.0,1803.15,1829.0,1792.85,1809.04,105302
2023-04-12,1814.0,1847.25,1858.75,1797.05,1840.31,162125
2023-04-13,1855.0,1870.75,1885.0,1826.05,1858.75,126886
2023-04-17,1870.75,1878.75,1904.9,1847.0,1877.52,121123
2023-04-18,1892.0,1850.95,1902.75,1830.0,1864.1,103734
2023-04-19,1847.0,1853.85,1877.7,1835.0,1857.49,95034
2023-04-20,1855.0,1842.9,1878.9,1836.85,1853.8,75110
2023-04-21,1846.0,1803.0,1853.25,1796.05,1816.0,87940
2023-04-24,1804.0,1801.95,1817.4,1775.8,1799.23,83370
2023-04-25,1806.0,1844.6,1913.75,1801.8,1865.2,201111
2023-04-26,1854.0,1847.9,1874.0,1826.4,1854.78,96443
2023-04-27,1848.0,1853.05,1864.95,1832.55,1849.97,71276
2023-04-28,1868.05,1924.95,1944.0,1857.15,1912.3,226409
2023-05-02,1935.0,1919.85,1966.0,1908.0,1932.34,143521
2023-05-03,1919.0,1839.0,1940.0,1785.35,1856.55,228734
2023-05-04,1839.05,1911.25,1935.0,1839.05,1886.78,168632
2023-05-05,1954.8,1920.3,1955.0,1903.15,1930.87,207327
2023-05-08,1920.3,1887.5,1926.9,1876.0,1893.79,101164
2023-05-09,1900.0,1896.1,1930.0,1889.1,1910.03,88427
2023-05-10,1899.0,1892.15,1914.9,1883.95,1900.91,71745
2023-05-11,1925.0,1984.65,2013.75,1910.0,1973.81,291184
2023-05-12,2009.0,1964.7,2010.0,1946.55,1972.68,124303
2023-05-15,1959.9,1916.05,1964.7,1880.0,1910.98,166552
2023-05-16,1927.0,1889.15,1935.0,1881.0,1907.38,93909
2023-05-17,1900.0,1899.5,1919.95,1857.75,1889.86,121068
2023-05-18,1910.05,1890.0,1924.0,1877.2,1900.73,73391
2023-05-19,1888.0,1956.05,1983.0,1872.1,1933.65,249199
