DATE,OPEN,CLOSE,HIGH,LOW,VWAP,NO OF TRADES
2023-06-06,588.0,585.35,588.9,583.0,585.23,140444
2023-06-07,588.0,589.2,590.6,586.0,588.49,170307
2023-06-08,589.95,588.5,593.95,586.35,591.21,140988
2023-06-09,588.0,578.7,589.1,576.75,580.81,253490
2023-06-12,580.0,578.65,581.5,577.7,579.37,129364
2023-06-13,579.45,576.4,581.4,574.25,576.44,198530
2023-06-14,577.0,576.55,578.55,575.25,576.96,122388
2023-06-15,576.0,566.5,576.7,565.25,571.49,232221
2023-06-16,568.75,571.25,574.7,567.05,570.69,178755
2023-06-19,571.25,568.85,572.75,565.9,568.29,213062
2023-06-20,568.85,567.4,569.45,562.55,565.75,216416
2023-06-21,567.4,566.35,569.5,565.65,567.46,219147
2023-06-22,566.35,562.95,569.0,561.05,564.62,199200
2023-06-23,562.0,554.6,562.1,553.8,556.89,218058
2023-06-26,556.0,557.05,558.5,554.5,556.75,164198
2023-06-27,558.25,566.1,567.95,555.65,560.63,211284
2023-06-28,572.25,569.8,574.0,568.55,571.17,243601
2023-06-30,574.0,572.85,574.0,570.2,572.3,155913
2023-07-03,574.5,585.45,586.35,573.9,581.26,211446
2023-07-04,588.2,589.25,595.95,582.25,590.37,350400
2023-07-05,589.8,590.6,593.7,588.2,590.5,271617
2023-07-06,590.4,592.5,593.5,589.1,591.75,188528
2023-07-07,590.0,593.6,595.5,585.5,590.44,220036
2023-07-10,594.65,592.6,599.8,590.25,595.13,175959
2023-07-11,595.0,588.55,595.95,587.35,591.37,224137
2023-07-12,589.0,589.25,594.5,588.2,590.82,227576
2023-07-13,594.9,585.65,598.0,583.35,591.82,292405
2023-07-14,586.75,584.4,591.3,580.7,584.92,191652
2023-07-17,587.0,601.1,602.85,584.2,594.72,255411
2023-07-18,603.05,592.35,604.05,588.75,597.04,356474
2023-07-19,594.65,601.45,602.4,592.0,598.2,229380
2023-07-20,601.4,610.05,610.8,598.75,607.09,418329
2023-07-21,610.0,615.1,619.5,609.0,616.02,278392
2023-07-24,615.05,617.65,621.9,614.3,618.22,202347
2023-07-25,621.8,609.6,621.8,604.2,610.43,282970
2023-07-26,612.0,615.15,616.35,609.15,613.49,172572
2023-07-27,616.4,616.55,621.25,613.1,616.65,226610
2023-07-28,616.4,616.05,619.9,613.6,616.59,161432
2023-07-31,616.65,620.2,621.0,614.5,618.92,124305
2023-08-01,620.2,611.85,620.85,610.6,614.09,199918
2023-08-02,609.85,598.45,610.5,594.1,601.63,273820
2023-08-03,598.7,590.5,600.85,585.0,590.78,320867
2023-08-04,594.8,573.3,598.7,571.4,582.94,568761
2023-08-07,577.0,567.9,577.0,566.65,569.52,424649
2023-08-08,571.0,573.1,574.25,568.45,571.54,353947
2023-08-09,575.0,573.75,575.0,568.35,571.15,247711
2023-08-10,573.75,573.65,577.6,570.1,573.33,421225
2023-08-11,575.45,574.15,579.0,572.0,575.36,263372
2023-08-14,572.95,560.8,573.0,558.6,561.45,478707
2023-08-16,558.8,565.35,566.4,554.0,563.54,190829
2023-08-17,565.75,572.15,573.15,564.0,568.81,338178
2023-08-18,570.0,572.95,575.25,567.4,571.79,296911
2023-08-21,572.95,571.7,575.55,570.75,572.74,154325
2023-08-22,572.5,568.5,574.45,567.5,570.63,194890
2023-08-23,571.0,576.9,577.95,566.0,572.66,260827
2023-08-24,578.15,576.95,582.0,575.55,578.0,321952
2023-08-25,573.8,569.95,575.3,567.2,571.2,198589
2023-08-28,572.8,572.85,574.8,569.2,571.84,181649
2023-08-29,573.65,574.85,576.3,571.85,574.01,232951
2023-08-30,576.7,567.4,577.7,566.1,571.91,245036
2023-08-31,569.3,561.35,570.3,559.4,564.43,326854
2023-09-01,562.7,569.55,571.2,562.1,567.55,260408
2023-09-04,572.0,575.55,576.35,568.45,572.87,195524
2023-09-05,575.6,573.0,578.25,571.35,574.05,247672
2023-09-06,574.25,570.5,574.25,568.0,570.55,337013
2023-09-07,568.0,579.05,581.0,568.0,575.6,180550
2023-09-08,581.0,583.45,588.5,579.7,584.57,205241
2023-09-11,587.0,591.7,592.3,585.35,590.12,271751
2023-09-12,593.65,588.35,594.25,584.65,588.44,254109
2023-09-13,588.4,596.45,598.0,583.45,592.24,279643
2023-09-14,598.45,597.3,603.7,595.2,598.77,260528
2023-09-15,599.35,598.8,600.7,595.2,598.23,182595
2023-09-18,598.8,603.95,608.4,597.05,605.18,336027
2023-09-20,600.85,601.1,606.8,599.4,602.78,351772
2023-09-21,600.0,588.15,606.6,584.65,593.29,425490
2023-09-22,593.5,598.15,602.0,591.4,598.12,295166
2023-09-25,601.5,594.05,601.5,590.45,594.79,262285
2023-09-26,594.0,594.4,595.0,591.25,593.8,185873
2023-09-27,593.45,589.75,594.3,588.2,590.74,232626
2023-09-28,591.25,589.95,595.2,588.85,591.37,287488
2023-09-29,592.85,598.55,600.0,591.3,597.22,224164
2023-10-03,596.6,602.95,604.9,589.6,597.63,245784
2023-10-04,600.0,586.25,600.45,584.45,590.41,308578
2023-10-05,590.0,592.15,594.35,587.1,591.18,209600
